Rank,Paper,PageRank
1,10.1007/s10458-019-09421-1,0.0063325443592859
2,10.3844/ajeassp.2018.1310.1319,0.00605734658994428
3,10.3844/ajeassp.2018.1320.1331,0.00605734658994428
4,10.22331/q-2021-06-29-483,0.00512598867254536
5,10.1103/PhysRevApplied.16.054035,0.00475650686220648
6,10.1007/s42484-021-00047-9,0.00411286416426457
7,10.1103/PhysRevA.100.052327,0.00389530114428309
8,10.1109/TSP.2020.3026980,0.0038858957121973
9,10.1371/journal.pone.0142390,0.00379416312241663
10,10.7717/peerj-cs.26,0.00379416312241663
11,10.1109/TSP.2019.2955832,0.00370243053263595
12,10.1109/ICASSP.2019.8682510,0.00345667111632359
13,10.1109/ICASSP.2019.8683486,0.00311302567836353
14,10.1109/TCYB.2020.2977374,0.00309076837086399
15,10.1016/j.artint.2019.103216,0.00309076837086399
16,10.1109/ICASSP.2019.8683438,0.00270181167889468
17,10.1109/TIT.2011.2104670,0.00266257138865298
18,10.1109/ISIT.2010.5513384,0.00266257138865298
19,10.1109/TSP.2016.2537271,0.00266257138865298
20,10.1109/TSP.2016.2537261,0.00266257138865298
21,10.1109/TAC.2018.2813009,0.00266257138865298
22,10.1137/17M1115770,0.00266257138865298
23,10.1109/TG.2018.2808201,0.00266257138865298
24,10.3390/e20030155,0.00266257138865298
25,10.1109/CDC.2017.8263743,0.00266257138865298
26,10.1103/PhysRevD.97.101501,0.00266257138865298
27,10.1109/ICASSP.2019.8683061,0.00266257138865298
28,10.1109/ICSC.2018.00029,0.00266257138865298
29,10.1109/ICSC.2018.00059,0.00266257138865298
30,10.1109/TSP.2018.2853130,0.00266257138865298
31,10.1109/TSP.2018.2885478,0.00266257138865298
32,10.3982/ECTA16901,0.00266257138865298
33,10.1093/mnras/stz575,0.00266257138865298
34,10.1093/mnras/stz602,0.00266257138865298
35,10.1080/01621459.2020.1745812,0.00266257138865298
36,10.1109/ICOSC.2019.8665646,0.00266257138865298
37,10.1109/ICOSC.2019.8665546,0.00266257138865298
38,10.1109/IJCNN.2019.8852316,0.00266257138865298
39,10.1109/IJCNN.2019.8851936,0.00266257138865298
40,10.1016/j.cirpj.2019.11.003,0.00266257138865298
41,10.1007/s00170-021-08242-5,0.00266257138865298
42,10.1007/s11307-020-01487-8,0.00266257138865298
43,10.1016/j.wneu.2019.08.232,0.00266257138865298
44,10.1080/17517575.2019.1633689,0.00266257138865298
45,10.1145/3337065,0.00266257138865298
46,10.1109/TNET.2020.3035770,0.00266257138865298
47,10.1109/TWC.2020.2971981,0.00266257138865298
48,10.1016/j.neucom.2021.02.027,0.00266257138865298
49,10.1109/IJCNN48605.2020.9207161,0.00266257138865298
