source_paper,cited_by
10.1016/j.apsb.2018.09.010,10.1021/acs.molpharmaceut.8b00816
10.1137/19M125649X,10.1186/s41546-020-00047-w
10.1137/19M125649X,10.1080/1350486X.2022.2030773
10.1109/IROS.2018.8594092,10.1109/TCST.2018.2886159
10.1109/TNNLS.2019.2933524,10.1109/IJCNN48605.2020.9207297
10.1145/3240765.3264699,10.1145/3374664.3375736
10.1109/TSG.2018.2878570,10.1109/TPAMI.2020.2970410
10.1145/3308558.3313644,10.1109/TPAMI.2020.2981604
10.22331/q-2020-08-24-310,10.22331/q-2019-12-16-215
10.22331/q-2020-08-24-310,10.1088/2632-2153/abc609
10.1109/TSP.2018.2864660,10.1109/TSP.2019.2937282
10.1109/CEC.2015.7257254,10.1109/TNNLS.2016.2551748
10.1109/TSP.2018.2883025,10.1109/TSP.2019.2905826
10.4310/CMS.2021.v19.n5.a1,10.1186/s41546-020-00047-w
10.4310/CMS.2021.v19.n5.a1,10.1080/1350486X.2022.2030773
10.4310/CMS.2021.v19.n5.a1,10.1090/memo/1410
10.4310/CMS.2021.v19.n5.a1,10.1137/19M125649X
10.1109/MNET.2019.1800286,10.1109/LRA.2019.2931179
10.1016/j.jcp.2019.01.030,10.1016/j.jcp.2019.06.042
10.1016/j.jcp.2019.01.030,10.1115/1.4044507
10.1103/PhysRevE.100.012115,10.1088/1742-5468/ab633c
10.1103/PhysRevE.100.012115,10.1088/1751-8121/ab4c8b
10.3982/ECTA16901,10.1080/01621459.2020.1745812
10.1109/TNSRE.2019.2896659,10.1016/j.bspc.2020.102037
10.3390/math9172144,10.1007/978-3-030-20518-8_26
10.22331/q-2021-11-24-587,10.1007/s11128-020-02661-1
10.1007/s10916-018-1072-9,10.1016/j.media.2019.101552
10.1038/s41467-019-12490-1,10.1093/nsr/nwz190
10.1038/s41467-019-12490-1,10.1109/TMECH.2020.2971503
10.1016/j.patcog.2014.12.003,10.1007/s10489-018-1341-9
10.1016/j.patcog.2014.12.003,10.1016/j.patcog.2018.07.037
10.1016/j.patcog.2014.12.003,10.1016/j.inffus.2017.02.010
10.1016/j.patcog.2014.12.003,10.1109/IJCNN.2017.7966355
10.1145/2959100.2959171,10.1145/3097983.3098184
10.1016/j.robot.2015.01.003,10.1016/j.neucom.2016.11.085
