source_paper,cited_by
10.1145/3359566.3360076,10.1145/3406971.3406985
10.1016/j.chaos.2020.109853,10.1016/j.chaos.2020.110027
10.1088/2632-2153/abda61,10.1103/PhysRevD.103.126014
10.1016/j.ipm.2014.08.007,10.3390/e23081045
10.1016/j.ipm.2014.08.007,10.1109/TPAMI.2020.3010953
10.1103/PhysRevD.103.126014,10.1088/2632-2153/abda61
10.1109/IEEECONF49454.2021.9382621,10.1016/j.neunet.2020.12.023
10.1109/IEEECONF49454.2021.9382621,10.1016/j.robot.2021.104019
10.1109/SSCI50451.2021.9659843,10.1109/ICTAI52525.2021.00136
10.1109/JBHI.2021.3069169,10.1038/s42256-021-00307-0
10.1109/GLOCOM.2018.8647714,10.1109/TNSM.2020.3014929
10.1109/GLOCOM.2018.8647714,10.1016/j.neucom.2020.07.061
10.1038/s41598-021-01445-6,10.1038/s41598-021-89461-4
10.1038/s41598-021-89461-4,10.1038/s41598-021-01445-6
10.1145/3411832,10.1145/3474838
10.1145/3400302.3415698,10.1145/3372224.3419194
10.1109/TSP.2020.2993164,10.1109/LSP.2020.3016837
10.1038/s41598-021-90446-6,10.1109/TNNLS.2021.3100902
10.1145/3372224.3419194,10.1145/3400302.3415698
10.1109/DSAA.2017.35,10.1007/s41060-021-00265-1
10.1109/LSP.2020.3016837,10.1109/TSP.2020.2993164
10.1145/3474838,10.1145/3569928
10.1109/BigData50022.2020.9378424,10.1007/s10618-020-00727-3
10.1109/TIP.2019.2954176,10.1109/TPAMI.2020.3014218
10.1016/j.robot.2021.104019,10.1016/j.neunet.2020.12.023
10.1145/3123266.3123447,10.1145/3308558.3313733
10.1007/978-981-13-6661-1_1,10.1109/SSCI47803.2020.9308512
10.3390/s19040777,10.3390/app9224748
10.1038/s41524-020-00431-2,10.1515/nanoph-2020-0407
10.1109/TUFFC.2021.3131383,10.1109/TMI.2020.3046700
10.1145/3416506.3423580,10.1016/j.infsof.2021.106552
10.1109/TPAMI.2021.3054824,10.1109/ACCESS.2022.3185095
10.23919/FPL.2017.8056832,10.1109/TCAD.2018.2859248
10.1109/TMI.2020.3046700,10.1109/TUFFC.2021.3131383
